seniunija,pure_ev,hybrid_ev,total_ev_score_weighted,area_km2
Naujininkai,691,3210,1814.5,44.252349054898126
Paneriai,202,938,530.3,78.13199109836523
Lazdynai,549,2550,1441.5,9.95551425327569
Grigiškės,241,1117,632.0,7.009228254469938
Vilkpėdė,443,2057,1162.9,10.747060251439992
Senamiestis,233,1082,611.7,4.406772086999922
Naujamiestis,479,2222,1256.7,4.89842788506261
Rasos,284,1317,745.0,16.19235341738865
Karoliniškės,561,2605,1472.8,3.7638223321865
Žvėrynas,277,1288,727.8,2.6207114544034837
Šnipiškės,336,1561,882.3,3.1264068279410937
Viršuliškės,92,428,241.8,2.5272827250660392
Naujoji Vilnia,837,3889,2198.1,38.65558284421724
Šeškinė,714,3314,1873.9,4.46216580764561
Justiniškės,536,2488,1406.8,2.90271033955168
Pilaitė,500,2322,1312.7,13.933524246549881
Žirmūnai,997,4629,2617.1,5.681409273017094
Fabijoniškės,849,3942,2228.7,6.020352359924375
Pašilaičiai,927,4303,2433.1,8.082061121193773
Antakalnis,898,4169,2357.1,77.15186977248901
Verkiai,1164,5407,3056.4,55.92561494759497
